,Channel,B,T,Isotope,G,sigma
0,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,H,2.20501483558543e-13,12.1445505466420
1,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,T,9.71807884203072e-11,9270.66689076442
2,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,H,2.20326107175108e-13,12.1348913492572
3,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,T,9.70906274034286e-11,9262.06588260632
4,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,H,2.19949009477074e-13,12.1141219558687
5,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,T,9.68967828772875e-11,9243.57387343800
6,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,H,2.19139991471378e-13,12.0695637066235
7,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,T,9.64810110883381e-11,9203.91087192729
8,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,H,2.17412705497417e-13,11.9744300527327
9,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,T,9.55938398926164e-11,9119.27821186854
10,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,H,2.13762528167506e-13,11.7733893958995
11,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,T,9.37209328644993e-11,8940.61021115270
12,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,H,2.05987908301587e-13,11.3451869982611
13,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,T,8.98583374095944e-11,8572.13372132088
14,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,H,1.91300541674526e-13,10.5362515502053
15,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,T,8.22631079004886e-11,7847.57855067040
16,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,H,1.64056864782413e-13,9.03575275195208
17,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,T,6.87142965901307e-11,6555.07497598338
18,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,H,1.23086778685248e-13,6.77924511546177
19,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,T,4.85241105916697e-11,4629.01024758491
20,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,H,7.46700748994830e-14,4.11260044287887
21,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,T,2.62361261086068e-11,2502.82375365207
22,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,H,3.51353598045154e-14,1.93514867217254
23,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,T,1.00451143560331e-11,958.264597233484
24,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,H,1.29798451269538e-14,0.714890361225270
25,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,T,2.72081636703709e-12,259.555233290018
26,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622069,0.001,H,3.99628856798609e-15,0.220103410324625
27,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622069,0.001,T,5.60996226884200e-13,53.5168445426230
28,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.21544346900318823,0.001,H,1.09736808071776e-15,0.0604396936903599
29,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.21544346900318823,0.001,T,9.66974868609490e-14,9.22456181343969
30,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.31622776601683794,0.001,H,2.75895749813163e-16,0.0151954981215355
31,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.31622776601683794,0.001,T,1.50290562480475e-14,1.43371314868954
32,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.46415888336127775,0.001,H,6.66096509625656e-17,0.00366865682694730
33,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.46415888336127775,0.001,T,2.21122534522977e-15,0.210942244133482
34,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579608,0.001,H,1.52371845614103e-17,0.000839217746330626
35,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579608,0.001,T,3.17536179007987e-16,0.0302917087749625
36,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,H,3.34626159922628e-18,0.000184301903453184
37,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,T,4.51630481420256e-17,0.00430837804366676
38,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622069,0.001,H,7.08574219963321e-19,3.90261112601868e-5
39,"{'alpha': 'c', 'beta': 'c', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622069,0.001,T,6.43079253060262e-18,0.000613472440015469
