hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
SS,Ssb,,8,0.387,0.0,0.0,0.055276381909548,0.0,0.0,0.206,0.0,0.0,90.0,0.0,0.0,5.7,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SS,Ssc,,8,0.723,0.0,0.0,0.815745393634841,0.0,0.0,0.007,0.0,0.0,90.0,0.0,0.0,2.1,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SS,Ssd,,8,1.0,0.0,0.0,1.0,0.0,0.0,0.017,0.0,0.0,90.0,0.0,0.0,1.3,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SS,Sse,,8,1.524,0.0,0.0,0.107537688442211,0.0,0.0,0.094,0.0,0.0,90.0,0.0,0.0,0.5,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SS,Ssf,,8,5.204,0.0,0.0,317.922948073702,0.0,0.0,0.049,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SS,Ssg,,8,9.573,0.0,0.0,95.142378559464,0.0,0.0,0.052,0.0,0.0,90.0,0.0,0.0,1.2,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SS,Ssh,,8,19.165,0.0,0.0,14.5393634840871,0.0,0.0,0.047,0.0,0.0,90.0,0.0,0.0,0.5,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SS,Ssi,,8,30.178,0.0,0.0,17.0854271356784,0.0,0.0,0.01,0.0,0.0,90.0,0.0,0.0,0.5,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SSE,Sseb,,8,0.387,0.0,0.0,0.055276381909548,0.0,0.0,0.206,0.0,0.0,90.0,0.0,0.0,20.7,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SSE,Ssec,,8,0.723,0.0,0.0,0.815745393634841,0.0,0.0,0.007,0.0,0.0,90.0,0.0,0.0,17.1,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SSE,Ssed,,8,1.0,0.0,0.0,1.0,0.0,0.0,0.017,0.0,0.0,90.0,0.0,0.0,16.3,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
SSE,Ssee,,8,1.524,0.0,0.0,0.107537688442211,0.0,0.0,0.094,0.0,0.0,90.0,0.0,0.0,15.5,0.0,0.0,01+1-2+2-3+-4+4-5+5-,0.0,0.0,-0.0
