hostname,pl_name,rowupdate,sy_pnum,st_rad,st_mass,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_ratdor,pl_ratror,a,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
55 Cncx,55 Cncx b,2021-02-05,5,,,,0.1134,0.0006,-0.0006,255.4,2.9,-2.9,0.0,0.01,-0.01,83.59,0.47,-0.44,0.007440544564898,0.0,0.0,,,,03+-5+5-,0.0,0.6646803743153546,-0.6222539674441618
55 Cncx,55 Cncx c,2021-02-05,5,,,,0.2373,0.0013,-0.0013,51.2,1.3,-1.3,0.03,0.02,-0.02,83.59,0.47,-0.44,0.007440544564898,0.0,0.0,,,,03+-5+5-,0.0,0.6646803743153546,-0.6222539674441618
55 Cncx,55 Cncx d,2021-02-05,5,,,,5.957,0.074,-0.071,991.6,30.7,-33.1,0.13,0.02,-0.02,83.59,0.47,-0.44,0.007440544564898,0.0,0.0,,,,03+-5+5-,0.0,0.6646803743153546,-0.6222539674441618
55 Cncx,55 Cncx e,2021-02-05,5,,,,0.01544,5e-05,-5e-05,7.99,0.32,-0.33,0.05,0.03,-0.03,83.59,0.47,-0.44,0.007440544564898,0.0,0.0,,,,05+5-,0.0,0.6646803743153546,-0.6222539674441618
55 Cncx,55 Cncx f,2021-02-05,5,,,,0.7708,0.0043,-0.0044,47.8,2.4,-2.4,0.08,0.05,-0.04,83.59,0.47,-0.44,0.007440544564898,0.0,0.0,,,,03+-5+5-,0.0,0.6646803743153546,-0.6222539674441618
AU Mic,AU Mic,1900-01-01,2,,0.5,,0.0873,0.00165,-0.00165,8.95,2.9,-2.25,0.0,0.0,0.0,89.7897,0.0308,-0.03495,34.98,21.05,-29.65,,,,0,0.0,0.04355777772109133,-0.04942676400493967
GJ 876x,GJ 876x b,2014-08-27,4,,,,0.208317,2e-05,-2e-05,723.2235,1.4302,-1.4302,0.0324,0.0013,-0.0013,59.0,0.0,0.0,0.007440544564898,0.0,0.0,,,,03+3-5+5-,0.0,0.0,-0.0
GJ 876x,GJ 876x c,2014-08-27,4,,,,0.12959,2.4e-05,-2.4e-05,226.9846,1.2395,-1.2395,0.25591,0.00093,-0.00093,59.0,0.0,0.0,0.007440544564898,0.0,0.0,,,,03+3-5+5-,0.0,0.0,-0.0
GJ 876x,GJ 876x d,2014-08-27,4,,,,0.020807,0.0,0.0,6.83,0.4,-0.4,0.207,0.055,-0.055,59.0,0.0,0.0,0.007440544564898,0.0,0.0,,,,03+3-5+5-,0.0,0.0,-0.0
GJ 876x,GJ 876x e,2014-08-27,4,,,,0.3343,0.0013,-0.0013,14.6,1.7,-1.7,0.055,0.012,-0.012,59.0,0.0,0.0,0.007440544564898,0.0,0.0,,,,03+3-5+5-,0.0,0.0,-0.0
HD 110067x,HD 110067x b,2023-12-05,6,,,,0.0793,0.00096,-0.00096,5.69,1.78,-1.82,0.005847498040807,0.0,0.0,89.061,0.099,-0.099,0.007440544564898,0.0,0.0,,,,01+1-5+5-,0.1869999999999976,0.10916501271011697,-0.10916501271011697
