hostname,pl_name,rowupdate,sy_pnum,st_rad,st_mass,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_ratdor,pl_ratror,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
TOI-451,TOI-451c,1900-01-01,3,,0.95,,0.0823,0.0033,-0.0036,10.861674800821536,2.904693475711113,-2.574901554513014,0.0,0.0,0.0,89.61,0.27,-0.36,40.0,22.0,-28.0,,,02+-5+-,-0.35999999999999943,0.2827649200307563,-0.3736308338453881
TOI-451,TOI-451d,1900-01-01,3,,0.95,,0.1208,0.0048,-0.0052,19.95903894633028,6.2241233441052515,-5.824172657405722,0.0,0.0,0.0,89.25,0.084,-0.1,40.0,22.0,-28.0,,,02+-5+-,0.0,0.11879393923934,-0.14142135623730953
TOI-5398,TOI-5398b,1900-01-01,2,,1.146,,0.098,0.005,-0.005,58.81261,5.722308,-5.722308,0.13,0.01,-0.1,89.21,0.31,-0.21,13.2,8.2,-8.2,,,0,0.0,0.43840620433565947,-0.29698484809834996
TOI-5398,TOI-5398c,1900-01-01,2,,1.146,,0.057,0.003,-0.003,11.7943126,4.8003806,-4.7050088,0.14,0.01,-0.1,88.4,1.6,-0.1,13.2,8.2,-8.2,,,05+-,0.8099999999999881,1.6297545827516486,-0.23259406699226012
TOI-942,TOI-942b,1900-01-01,2,,0.822,,0.04866,0.00017,-0.00013,17.861675243784248,6.100160158615065,-5.034308370140229,0.05,0.1,-0.1,89.966,0.02,-0.024,1.0,41.0,-33.0,,,02+-,-0.8059999999999974,0.380525951808809,-0.30095846889562683
TOI-942,TOI-942c,1900-01-01,2,,0.822,,0.08598,0.00027,-0.00022,27.052008726999663,10.71215663771073,-9.641547288240425,0.08,0.1,-0.1,89.16,0.38,-0.3,30.0,13.0,-13.0,,,02+-,0.0,0.5374011537017761,-0.4242640687119285
WASP-148,WASP-148b,1900-01-01,2,,0.954,,0.08215,0.00086,-0.0015,91.239022,6.993932,-5.086496,0.208,0.02,-0.025,89.3,0.24,-0.24,8.2,8.7,-9.7,,,0,-20.799999999999997,4.606256614649253,-4.606256614649253
WASP-148,WASP-148c,1900-01-01,2,,0.954,,0.2044,0.0021,-0.0038,124.619152,7.311838,-8.583462,0.1809,0.018,-0.0072,68.5,4.6,-4.6,8.2,8.7,-9.7,,,05+-,0.0,6.505382386916237,-6.505382386916237
WASP-47,WASP-47b,1900-01-01,4,,1.058,,0.0507,0.0016,-0.0016,375.12908,15.8953,-15.8953,0.0006,0.0005,-0.0002,89.0,0.17,-0.17,29.0,11.0,-13.0,,,0,1.0,1.014347080638575,-1.014347080638575
WASP-47,WASP-47c,1900-01-01,4,,1.058,,1.393,0.014,-0.014,448.24746,19.07436,-22.25342,0.264,0.007,-0.012,90.0,1.0,-1.0,29.0,11.0,-13.0,,,05+-,0.0,1.4142135623730951,-1.4142135623730951
WASP-47,WASP-47d,1900-01-01,4,,1.058,,0.085,0.0027,-0.0027,15.5138128,0.6993932,-0.8901368,0.001,0.0008,-0.0007,89.23,0.1,-0.1,29.0,11.0,-13.0,,,05+-,0.769999999999996,1.004987562112089,-1.004987562112089
WASP-47,WASP-47e,1900-01-01,4,,1.058,,0.01673,0.00053,-0.00053,8.901368,6.35812,-3.17906,0.0,0.0,0.0,86.73,1.76,-1.76,29.0,11.0,-13.0,,,05+-,3.269999999999996,2.0242529486207994,-2.0242529486207994
WASP-84,WASP-84b,1900-01-01,2,,0.853,,0.0778,0.0021,-0.0021,219.990952,18.438548,-18.438548,0.0,0.0,0.0,88.292,0.045,-0.042,17.3,7.7,-7.7,,,01+,0.0,0.06363961030678927,-0.05939696961967
WASP-84,WASP-84c,1900-01-01,2,,0.853,,0.02359,0.001,-0.001,15.259488,4.450684,-4.132778,0.0,0.0,0.0,83.2,0.51,-0.49,17.3,7.7,-7.7,,,01+5+-,5.091999999999999,0.5119814449762804,-0.49179670596700825
