,success_rate,mean_error,mean_time
DFA,1.0,0.05636083815642473,0.15534607039557563
R/S,1.0,0.11684172170196888,0.07640911738077799
Higuchi,1.0,0.5014681394902382,0.009235329098171659
DMA,1.0,0.07349803800054899,0.09508016374376085
Periodogram,1.0,0.11012668586636265,0.002680794397989909
Whittle,1.0,0.3795700828554306,0.010157918930053711
GPH,1.0,0.20999839265290285,0.0024108780754937068
Wavelet Log Variance,1.0,0.1509949783712465,0.0021212100982666016
Wavelet Variance,1.0,0.23054928614099868,0.0022280216217041016
Wavelet Whittle,1.0,0.14482378555204484,0.024652634726630318
CWT,1.0,0.0605088098336376,0.00863395267062717
MFDFA,1.0,0.4295491291305365,0.8428022066752116
