,success_rate,mean_error,mean_time
DFA,1.0,0.028367512510494693,0.16670330895317925
R/S,1.0,0.1106674289908569,0.08123100598653157
Higuchi,1.0,0.49804386221941127,0.009834252463446724
DMA,1.0,0.04508607207414126,0.10116424030727811
Periodogram,1.0,0.07941300373565498,0.0030677689446343315
Whittle,1.0,0.38199241774084786,0.011137729220920139
GPH,1.0,0.18858088008220186,0.0024835003746880423
Wavelet Log Variance,1.0,0.20283881456385144,0.0023073620266384548
Wavelet Variance,1.0,0.30542922731964,0.0022787835862901474
Wavelet Whittle,1.0,0.10821164699923881,0.027462307612101236
CWT,1.0,0.0590199098663079,0.008444431093004015
MFDFA,1.0,0.42795718123571336,0.8879995346069336
