,success_rate,mean_error,mean_time
DFA,1.0,0.07305890536779026,0.16697322527567546
R/S,1.0,0.1304268597373303,0.081848939259847
Higuchi,1.0,0.4965968839963881,0.00986108250088162
DMA,1.0,0.04542842441731567,0.1015901353624132
Periodogram,1.0,0.19902294073052482,0.002629444334242079
Whittle,1.0,0.3117127323801255,0.011783271365695529
GPH,1.0,0.30501834281326395,0.00256397459242079
Wavelet Log Variance,1.0,0.27840561441971234,0.0023808108435736763
Wavelet Variance,1.0,0.4086208066276206,0.002525085873074002
Wavelet Whittle,1.0,0.10965121402217212,0.027476607428656683
CWT,1.0,0.08658443480489171,0.008989742067125108
MFDFA,1.0,0.4273675867616956,0.8994896041022407
