#light_curve_number,stellar_mag,T0(days),Porb(days),impact_parameter,rho_star(g/cm^2),rp_rs,u1,u2,             S+2015_lc_number,activity_level,stellar_period,             Teff,log_g,metallicity,cont_q1q5,cont_q2q6,cont_q3q7,cont_q4q8
   0, 8.23,163.6017846,261.7605620,0.8734863,1.7638520,0.0387057,0.2311789,0.6650376,656,1.8500,39.60,6580.8110,3.7852,-0.0105,0.0400,0.0847,0.0965,0.0856
   1, 10.33,155.8369422,265.1450336,0.7267478,2.0811938,0.0734478,0.4490672,0.2719605,900,1.8100,53.48,5512.1950,4.5046,0.0526,0.0844,0.0754,0.0076,0.0208
   2, 10.29,129.3199193,139.3153568,0.6206204,1.9711414,0.0125267,0.7603905,-0.2971919,148,1.4700,40.82,5943.6130,4.0249,0.2235,0.0979,0.0406,0.0600,0.0775
   3, 10.38,123.1026811,294.6030338,0.8120472,1.0812609,0.0279852,1.1645968,-0.3555534,373,1.7700,23.00,6648.7570,4.3177,-0.1148,0.0939,0.0960,0.0678,0.0211
   4, 10.87,108.7030156,218.4865472,0.8471983,2.5433313,0.0187796,1.5281288,-0.5579838,546,0.5300,44.13,5512.1950,4.5046,0.0526,0.0502,0.0168,0.0334,0.0545
   5, 8.37,11.0369125,292.8241733,0.4324625,0.8281228,0.0835560,0.0057425,0.0709374,819,0.3800,13.95,6648.7570,4.3177,-0.1148,0.0930,0.0362,0.0950,0.0063
   6, 10.18,37.9702783,201.4317613,0.9527076,2.4647879,0.0106136,0.5409705,-0.0124398,696,1.3000,21.69,6516.5270,4.0217,0.0950,0.0081,0.0079,0.0240,0.0784
   7, 8.38,86.1048510,344.6010225,0.4082770,1.2741360,0.0725370,0.5448164,-0.0376792,292,0.7200,42.73,5943.6130,4.0249,0.2235,0.0561,0.0200,0.0456,0.0964
   8, 8.52,2.7649434,8.4765550,1.0324491,1.8146352,0.0483598,0.3890838,0.1651312,617,0.3300,14.05,5512.1950,4.5046,0.0526,0.0158,0.0756,0.0206,0.0324
   9, 10.58,276.4957363,294.1238475,0.7995006,2.5364913,0.0671600,0.8482670,-0.3667349,158,0.5800,29.03,5943.6130,4.0249,0.2235,0.0920,0.0806,0.0753,0.0798
  10, 9.72,15.1630953,25.7158672,0.9123955,2.9880041,0.0110748,0.0075627,0.6946543,462,0.9600,14.83,6648.7570,4.3177,-0.1148,0.0030,0.0350,0.0357,0.0171
  11, 9.48,5.2324365,148.1061978,0.0635617,1.9035127,0.0342328,0.9483163,-0.3673975,83,2.9900,13.93,6580.8110,3.7852,-0.0105,0.0552,0.0623,0.0877,0.0675
  12, 9.48,178.6295938,299.4127742,0.7016761,1.2575826,0.0390739,0.7655473,0.2245694,425,0.8600,4.84,6580.8110,3.7852,-0.0105,0.0111,0.0986,0.0645,0.0394
  13, 8.97,5.6577415,113.5699317,0.4705564,2.5977936,0.0753194,0.4365505,0.3341385,174,0.3600,21.75,6516.5270,4.0217,0.0950,0.0387,0.0983,0.0341,0.0060
  14, 10.85,48.4625386,195.6568529,0.3512011,2.3442944,0.0932156,0.2215509,0.6026444,382,2.8300,42.31,6580.8110,3.7852,-0.0105,0.0930,0.0040,0.0627,0.0605
  15, 10.69,117.1902009,120.4412702,0.7642869,1.1800852,0.0585982,0.0663699,0.8077743,231,0.5000,20.70,5512.1950,4.5046,0.0526,0.0255,0.0487,0.0156,0.0551
  16, 8.84,30.5129961,31.9273224,0.5218271,2.0181668,0.0232340,0.0517540,0.4004081,309,1.4100,39.40,6516.5270,4.0217,0.0950,0.0970,0.0587,0.0888,0.0126
  17, 8.78,68.9617666,194.5572247,0.8814037,1.5855375,0.0489359,1.0818104,-0.4625806,129,1.0000,35.98,6580.8110,3.7852,-0.0105,0.0911,0.0160,0.0993,0.0954
  18, 9.81,112.2044801,303.9960753,0.0014568,0.8288864,0.0160986,0.0051085,0.3904157,321,2.4300,23.20,5943.6130,4.0249,0.2235,0.0021,0.0293,0.0909,0.0094
  19, 10.24,76.2301478,220.4046820,1.0214210,1.1281601,0.0739670,0.4045242,0.2531470,908,0.4000,6.41,6516.5270,4.0217,0.0950,0.0494,0.0282,0.0656,0.0900
  20, 10.27,25.9843248,310.8067222,0.4090321,2.4814027,0.0136559,1.5259801,-0.5960216,51,0.5200,50.05,5943.6130,4.0249,0.2235,0.0897,0.0406,0.0633,0.0554
  21, 8.79,88.2094709,200.5710459,0.6388471,2.1642255,0.0374092,0.2949863,0.1698991,287,0.4700,10.31,5943.6130,4.0249,0.2235,0.0521,0.0144,0.0309,0.0770
  22, 10.49,39.4210016,40.0567349,0.4454181,1.9515049,0.0378676,0.8685674,-0.0026887,887,0.4000,18.37,6648.7570,4.3177,-0.1148,0.0757,0.0307,0.0926,0.0930
  23, 10.87,282.2623038,342.4118004,0.3056731,1.5432658,0.0679772,0.0189432,0.1802906,664,0.8300,28.19,5943.6130,4.0249,0.2235,0.0975,0.0079,0.0690,0.0708
  24, 8.19,34.1943822,107.7975167,0.7366273,2.9686126,0.0131910,1.1469265,-0.5017448,511,1.4100,25.31,5512.1950,4.5046,0.0526,0.0795,0.0243,0.0620,0.0498
  25, 10.46,81.8704983,336.4469538,0.2197143,2.1588518,0.0124953,0.5230556,-0.2365126,10,1.0300,35.23,6580.8110,3.7852,-0.0105,0.0559,0.0510,0.0845,0.0005
  26, 8.94,189.4220845,288.7324770,0.1730264,2.6672936,0.0419596,0.2183557,0.2165766,506,2.4900,10.97,6648.7570,4.3177,-0.1148,0.0767,0.0758,0.0409,0.0070
  27, 8.09,54.2033089,136.0288204,0.4665177,1.8296863,0.0236992,0.5094627,0.3046168,681,0.8100,47.74,6580.8110,3.7852,-0.0105,0.0535,0.0949,0.0592,0.0777
