box_size,alpha,v_wall,Omega_tilde_int_extrap,k1,k2,ke,n1,n2,n3,b,coll_supp_fact,curly_K_0_512,t_perc
20,0.0046,0.32,0.018521531,2.976125825,3.789418813,14.15805985,3,1,-2.999,0.047641894,1.022875554,3.61E-05,8.66193
20,0.0046,0.36,0.017221118,2.338483673,4.820381369,12.89554085,3,1,-2.999,0.038962372,1.025152516,4.61E-05,8.66206
20,0.0046,0.4,0.01492393,1.959603558,6.26563663,11.81148394,3,1,-2.999,0.065149117,1.027805599,5.98E-05,8.65972
20,0.0046,0.44,0.012413801,2.070298647,8.158123996,10.95926547,3,1,-2.999,0.084938623,1.009129767,7.83E-05,8.66202
20,0.0046,0.48,0.009471864,1.700514968,11.72080471,10.35566131,3,1,-2.999,0.121259295,0.982796786,0.000108074,8.66242
20,0.0046,0.52,0.005792116,1.536056683,19.68053345,10.14151945,3,1,-3,0.209545842,0.911545159,0.000159488,8.66294
20,0.0046,0.56,0.003726836,1.502675814,19.85221896,10.9092213,3,1,-3,0.354967422,0.784810075,0.000272775,8.66211
20,0.0046,0.6,0.003895193,1.336106873,19.32592278,10.27275063,3,1,-3,0.35904479,0.697018678,0.000450867,8.65998
20,0.0046,0.64,0.005464509,1.25598067,14.78598121,9.49567613,3,1,-3,0.260734583,0.761547711,0.000167696,8.66146
20,0.0046,0.68,0.007882335,1.196356376,10.32720356,8.871730909,3,1,-2.999,0.176080335,0.784261194,9.78E-05,8.66005
20,0.0046,0.72,0.010197031,1.243378706,7.262721873,8.532315102,3,1,-2.999,0.129080823,0.776362605,6.90E-05,8.66152
20,0.0046,0.76,0.012214531,1.233778987,5.555411594,8.206355676,3,1,-2.999,0.10301125,0.762733598,5.29E-05,8.66129
20,0.0046,0.8,0.014050775,1.119254498,4.481697438,7.915167456,3,1,-2.999,0.082626949,0.745158027,4.24E-05,8.6625
40,0.0046,0.32,0.02017855,1.953891696,4.04160568,8.953092512,3,1,-2.999,0.059998179,1.029476684,3.63E-05,11.0573
40,0.0046,0.36,0.018342441,1.758096013,5.041852879,8.172666762,3,1,-2.999,0.099323219,1.030936908,4.64E-05,11.0563
40,0.0046,0.4,0.016013184,1.559970712,6.5566019,7.430884491,3,1,-2.999,0.116447572,1.009382407,5.87E-05,11.0563
40,0.0046,0.44,0.013201182,1.45907257,9.480242274,6.67110721,3,1,-2.999,0.161885696,0.960718014,7.45E-05,11.0547
40,0.0046,0.48,0.009786808,1.440445643,18.81340045,5.989024913,3,1,-3,0.226400252,0.906028658,9.96E-05,11.0547
