Model Name,Task,Pretrained Weights Repository,Model Size (Parameters),Hyperparameters Tuned,Paper,mAP@[.5:.95],mAP@0.5,Precision,Recall,F1-score,Avg. Inference time per image (ms),Epochs Fine-tuned
grounding_dino_detect_model,"Single-class Zero-shot Object Detection (Prompt: ""bark beetle"")",https://huggingface.co/IDEA-Research/grounding-dino-base,341M,FALSE,https://arxiv.org/abs/2303.05499,0.673,0.958,0.977,0.961,0.969,451,None
yolov10x_bb_detect_model,Single-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_yolov10_od,29.5M,FALSE,https://arxiv.org/abs/2405.14458,0.771,0.941,0.812,0.904,0.855,4.1,3
rtdetrx_bb_detect_model,Single-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_rtdetr_od,76M,FALSE,https://arxiv.org/abs/2304.08069,0.662,0.935,0.907,0.923,0.915,10.8,3
yolov9e_bb_detect_model,Single-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_yolov9_od,58.1M,FALSE,https://arxiv.org/abs/2402.13616,0.731,0.971,0.902,0.958,0.929,5.8,3
yolov11x_bb_detect_model,Single-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_yolov11_od,56.9M,FALSE,https://www.arxiv.org/abs/2410.17725,0.767,0.967,0.892,0.935,0.913,4,3
yolov8x_bb_detect_model,Single-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_yolov8_od,68.2M,FALSE,https://arxiv.org/abs/2408.15857,0.697,0.966,0.885,0.951,0.917,4.1,3
yolov10x_bb_multi_class_detect_model,Multi-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_yolov10_oc,29.5M,TRUE,https://arxiv.org/abs/2405.14458,0.913,0.922,0.852,0.727,0.785,4.2,100
rtdetrx_bb_multi_class_detect_model,Multi-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_rtdetr_oc,76M,TRUE,https://arxiv.org/abs/2304.08069,0.820,0.879,0.750,0.909,0.822,7.5,100
yolov9e_bb_multi_class_detect_model,Multi-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_yolov9_oc,58.1M,TRUE,https://arxiv.org/abs/2402.13616,0.918,0.927,0.902,0.836,0.868,5.8,100
yolov11x_bb_multi_class_detect_model,Multi-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_yolov11_oc,56.9M,TRUE,https://www.arxiv.org/abs/2410.17725,0.917,0.925,714,0.8181,0.762,4,100
yolov8x_bb_multi_class_detect_model,Multi-class Object Detection,https://huggingface.co/IBBI-bio/ibbi_yolov8_oc,68.2M,TRUE,https://arxiv.org/abs/2408.15857,0.916,0.927,0.897,0.797,0.844,4.1,100
