hostname,pl_name,default_flag,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2
HD 110067,HD 110067 b,1,2023-12-05,6,0.0793,0.00096,-0.00096,2.2,0.03,-0.03,5.69,1.78,-1.82,0.005847498040807413,,,89.061,0.099,-0.099,0.007440544564898034,,
HD 110067,HD 110067 c,1,2023-12-05,6,0.1039,0.0013,-0.0013,2.388,0.036,-0.036,6.3,,,0.005847498040807413,,,89.687,0.163,-0.163,0.007440544564898034,,
HD 110067,HD 110067 d,1,2023-12-05,6,0.1362,0.0017,-0.0017,2.852,0.039,-0.039,8.52,3.31,-3.25,0.005847498040807413,,,89.248,0.046,-0.046,0.007440544564898034,,
HD 110067,HD 110067 e,1,2023-12-05,6,0.1785,0.0022,-0.0022,1.94,0.04,-0.04,3.9,,,0.005847498040807413,,,89.867,0.089,-0.089,0.007440544564898034,,
HD 110067,HD 110067 f,1,2023-12-05,6,0.2163,0.0026,-0.0026,2.601,0.042,-0.042,5.04,1.89,-1.94,0.005847498040807413,,,89.673,0.046,-0.046,0.007440544564898034,,
HD 110067,HD 110067 g,1,2023-12-05,6,0.2621,0.0032,-0.0032,2.607,0.052,-0.052,8.4,,,0.005847498040807413,,,89.729,0.073,-0.073,0.007440544564898034,,
TRAPPIST-1,TRAPPIST-1 c,1,2022-11-14,7,0.0158,0.00013,-0.00013,1.097,0.014,-0.012,1.308,0.056,-0.056,0.005847498040807413,,,89.778,0.118,-0.118,0.007440544564898034,,
KOI-351,KOI-351 e,1,2014-05-14,8,0.42,0.06,-0.06,2.66,0.29,-0.29,,,,0.005847498040807413,,,89.79,0.19,-0.19,0.007440544564898034,,
KOI-351,KOI-351 b,1,2014-05-14,8,0.074,0.016,-0.016,1.31,0.17,-0.17,,,,0.005847498040807413,,,89.4,1.5,-1.5,0.007440544564898034,,
KOI-351,KOI-351 c,1,2014-05-14,8,0.089,0.012,-0.012,1.19,0.14,-0.14,,,,0.005847498040807413,,,89.68,0.74,-0.74,0.007440544564898034,,
GJ 876,GJ 876 e,1,2014-08-27,4,0.3343,0.0013,-0.0013,,,,14.6,1.7,-1.7,0.055,0.012,-0.012,59.0,,,0.007440544564898034,,
GJ 876,GJ 876 d,1,2014-08-27,4,0.020807,0.0,-0.0,,,,6.83,0.4,-0.4,0.207,0.055,-0.055,59.0,,,0.007440544564898034,,
