hostname,pl_name,default_flag,rowupdate,sy_pnum,st_rad,st_mass,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_ratdor,pl_ratror
SS,Ssb,1,,8,,,,0.387,,,,,,0.055276381909548,,,0.206,,,,,,5.7,,,,
SS,Ssc,1,,8,,,,0.723,,,,,,0.815745393634841,,,0.007,,,,,,2.1,,,,
SS,Ssd,1,,8,,,,1,,,,,,1,,,0.017,,,,,,1.3,,,,
SS,Sse,1,,8,,,,1.524,,,,,,0.107537688442211,,,0.094,,,,,,0.5,,,,
SS,Ssf,1,,8,,,,5.204,,,,,,317.922948073702,,,0.049,,,,,,0,,,,
SS,Ssg,1,,8,,,,9.573,,,,,,95.142378559464,,,0.052,,,,,,1.2,,,,
SS,Ssh,1,,8,,,,19.165,,,,,,14.5393634840871,,,0.047,,,,,,0.5,,,,
SS,Ssi,1,,8,,,,30.178,,,,,,17.0854271356784,,,0.01,,,,,,0.5,,,,
SSE,Sseb,1,,8,,,,0.387,,,,,,0.055276381909548,,,0.206,,,,,,20.7,,,,
SSE,Ssec,1,,8,,,,0.723,,,,,,0.815745393634841,,,0.007,,,,,,17.1,,,,
SSE,Ssed,1,,8,,,,1,,,,,,1,,,0.017,,,,,,16.3,,,,
SSE,Ssee,1,,8,,,,1.524,,,,,,0.107537688442211,,,0.094,,,,,,15.5,,,,
SSE,Ssef,1,,8,,,,5.204,,,,,,317.922948073702,,,0.049,,,,,,15,,,,
SSE,Sseg,1,,8,,,,9.573,,,,,,95.142378559464,,,0.052,,,,,,16.2,,,,
SSE,Sseh,1,,8,,,,19.165,,,,,,14.5393634840871,,,0.047,,,,,,15.5,,,,
SSE,Ssei,1,,8,,,,30.178,,,,,,17.0854271356784,,,0.01,,,,,,15.5,,,,
