H0001,Exploration_licence_data_header_file,,,,,,
H0002,Version,3,,,,,
D,DH400,78,81,98,rssl,ACORE,
D,DH400,81,82,98,ifap,ACORE,
D,DH400,82,90,98,rssl,ACORE,
D,DH400,90,103,98,rssr,ACORE,
D,DH400,103,106,98,rssr,ACORE,
D,DH400,106,107,98,vanv,ACORE,Weakly porphyritic Andasite. Pheno's are weaklyseriticised. Diseminated Py 0.5%. Posibly  trace magnetite.
D,DH401,0,1,98,rcs,ACORE,
D,DH401,1,6,98,sscl,ACORE,
D,DH401,6,13,98,sscl,ACORE,
D,DH401,13,30,98,sscl,ACORE,
D,DH401,30,41,98,sscl,ACORE,
D,DH401,41,47,98,sscl,ACORE,
D,DH401,47,50,98,ssgr,ACORE,49-50 higher proportion of rounded lithic clasts. Poloymict.
D,DH401,50,52,98,sscl,ACORE,
D,DH401,52,54,98,sscl,ACORE,
D,DH401,54,67,98,rssu,ACORE,
D,DH401,67,73,98,rssl,ACORE,
D,DH401,73,87,98,rssr,ACORE,Bleached granoblastic monzonite?  with relic felspar phenos. Pervasive moderate sericitite wash
D,DH401,87,98,98,rssr,ACORE,moderate to weakly prophyritic mozonite. Feldspar phenos are weakly seriticised. Moderate manganese veining and on fracture surfaces. Pervasive moderate epidote alt.
D,DH402,0,1,98,rcs,ACORE,
D,DH402,1,17,98,sscl,ACORE,
D,DH402,17,30,98,sscl,ACORE,
D,DH402,30,48,98,sscl,ACORE,
D,DH402,48,51,98,sssa,ACORE,
D,DH402,51,53,98,ssgr,ACORE,
D,DH402,53,68,98,rssu,ACORE,
D,DH402,68,82,98,rssl,ACORE,
D,DH402,82,89,98,rssr,ACORE,
D,DH402,89,90,98,icdq,ACORE,
D,DH403,0,1,98,rcs,ACORE,
D,DH403,1,14,98,sscl,ACORE,
D,DH403,14,18,98,sscl,ACORE,
D,DH403,18,19,98,sscoc,ACORE,calcrete in minor clays with dendritic manganese
D,DH403,19,29,98,sscl,ACORE,
D,DH403,29,30,98,sscoc,ACORE,calcrete in minor clays with dendritic manganese
D,DH403,30,34,98,sscl,ACORE,
D,DH403,34,42,98,sscl,ACORE,
D,DH403,42,50,98,sscl,ACORE,
D,DH403,50,53,98,sssa,ACORE,
D,DH403,53,54,98,ssgr,ACORE,
D,DH403,54,55,98,ssgr,ACORE,
D,DH403,55,66,98,sscl,ACORE,
D,DH403,66,76,98,rssu,ACORE,
D,DH403,76,86,98,rssl,ACORE,
D,DH403,86,90,98,rssr,ACORE,pervasivly epidote altered monzonite?. Abundant oxide filled veinlets.  1cm thick vein 88-89m with completely manganese coated quartz crystals on vein periferies. 
D,DH403,90,93,98,rssr,ACORE,Monzonite? Diseminated Py 2% in host rock and in thin networked quarts veinlets. Possibly one small spec of moly.sericitically altered relic feldspars and fe oxide infilled veinlets. (Nice Rock)
D,DH404A,0,1,98,rcs,ACORE,
D,DH404A,1,6,98,sscl,ACORE,
D,DH404A,6,11,98,sscl,ACORE,
D,DH404A,11,13,98,sscl,ACORE,
D,DH404A,13,25,98,sscl,ACORE,
D,DH404A,25,34,98,sscl,ACORE,
D,DH404A,34,40,98,sscl,ACORE,
D,DH404A,40,44,98,sssa,ACORE,
D,DH404A,44,48,98,ssgr,ACORE,
D,DH404A,48,56,98,sscl,ACORE,
D,DH404A,56,69,98,sscl,ACORE,
D,DH404A,69,72,98,ssgr,ACORE,
D,DH404A,72,78,98,sscl,ACORE,
D,DH404A,78,79,98,ssgr,ACORE,
D,DH404A,79,80,98,sscl,ACORE,
D,DH404A,80,81,98,ssgr,ACORE,
D,DH404A,81,83,98,sssa,ACORE,
D,DH404A,83,89,98,sscl,ACORE,
D,DH404A,89,96,98,ssgr,ACORE,
D,DH404B,0,1,98,rcs,ACORE,
D,DH404B,1,6,98,sscl,ACORE,
D,DH404B,6,11,98,sscl,ACORE,
D,DH404B,11,13,98,sscl,ACORE,
D,DH404B,13,25,98,sscl,ACORE,
D,DH404B,25,34,98,sscl,ACORE,
D,DH404B,34,40,98,sscl,ACORE,
D,DH404B,40,44,98,sssa,ACORE,
D,DH404B,44,48,98,ssgr,ACORE,
D,DH404B,48,56,98,sscl,ACORE,
D,DH404B,56,69,98,sscl,ACORE,
D,DH404B,69,72,98,ssgr,ACORE,
D,DH404B,72,78,98,sscl,ACORE,
D,DH404B,78,79,98,ssgr,ACORE,
D,DH404B,79,80,98,sscl,ACORE,
D,DH404B,80,81,98,ssgr,ACORE,
D,DH404B,81,83,98,sssa,ACORE,
D,DH404B,83,89,98,sscl,ACORE,
D,DH404B,89,93,98,ssgr,ACORE,
D,DH405,0,4,98,rcs,ACORE,
D,DH405,4,10,98,sscl,ACORE,
D,DH405,10,16,98,sscl,ACORE,
D,DH405,16,39,98,sscl,ACORE,
D,DH405,39,41,98,sssa,ACORE,
D,DH405,41,47,98,ssgr,ACORE,
D,DH405,47,51,98,sscl,ACORE,
D,DH405,51,55,98,ssgr,ACORE,
D,DH405,55,65,98,sscl,ACORE,
D,DH405,65,67,98,ssgr,ACORE,
D,DH405,67,69,98,sscl,ACORE,
D,DH405,69,70,98,sssa,ACORE,
D,DH405,70,75,98,ssgr,ACORE,
D,DH405,75,84,98,sscl,ACORE,
D,DH405,84,98,98,ssgr,ACORE,
D,DH405,98,102,98,ssgr,ACORE,
D,DH405,102,103,98,sssa,ACORE,
D,DH405,103,130,98,ssgr,ACORE,no sample from 110-112m
D,DH405,130,132,98,sscl,ACORE,
D,DH405,132,137,98,ssgr,ACORE,
D,DH405,137,140,98,sssa,ACORE,
D,DH405,140,147,98,ssgr,ACORE,
D,DH405,147,148,98,icd,ACORE,Pervasive moderately altered chlorite and epidote mg diorite (Propolitic). Epidote veins with sericite selvedge. 3-5% Py. Minor fg magnetite. Possibly some trace malachite staining (or Fuchsite?) on one chip. Minor Phyrrotite reported although personally none sighted. Py appears to also selctively cluster around the rims of relic cholite altered phenocrysts. 
D,DH406,0,3,98,rcs,ACORE,
D,DH406,3,11,98,sscl,ACORE,
D,DH406,11,16,98,sscl,ACORE,
D,DH406,16,22,98,sscl,ACORE,
D,DH406,22,24,98,sscl,ACORE,
D,DH406,24,37,98,sscl,ACORE,
D,DH406,37,43,98,sssa,ACORE,
D,DH406,43,46,98,sssa,ACORE,
D,DH406,46,48,98,ssgr,ACORE,
D,DH406,48,51,98,sscl,ACORE,
D,DH406,51,54,98,sssa,ACORE,
D,DH406,54,57,98,ssgr,ACORE,
D,DH406,57,66,98,sscl,ACORE,
D,DH406,66,70,98,ssgr,ACORE,
D,DH406,70,78,98,sscl,ACORE,
D,DH406,78,81,98,sssa,ACORE,
D,DH406,81,87,98,ssgr,ACORE,
D,DH406,87,100,98,sscl,ACORE,
D,DH406,100,102,98,sscl,ACORE,
D,DH406,102,108,98,ssgr,ACORE,
D,MYDD407,0,109.3,98,spu,PCDD,transported cover. Consisting of clays
D,MYDD407,109.3,118.56,98,icdp,PCDD,light green cg Porphritic diorite with minor dark green mg crowded equigranular diorite enclaves within.
D,MYDD407,118.56,128.46,98,bcpi,PCDD,Chloritically altered polymict Clast supported igneous breccia. Clasts mostly rounded and  mainly of dioritic composition with weak potassic alteration. Moderate amount of clasts that are more angular and have been seletively and completetly replaced with silica. Up to 2% epigenetic coarse Py infilling vugs and fractures.  
D,MYDD407,128.46,138.7,98,icdp,PCDD,light green pervasive phillically altered cg Porphritic diorite. One 25cm thick dark green (Chlorite alt) Porphritic diorite sill. Contact shows that host was stil plastic at time of sill  intrusion.Host diotite has very weak patches of potassic alteration overprinting phyllic alt
D,MYDD408,0,115.3,98,spu,PCDD,transported cover. Consisting of clays
D,MYDD408,115.3,117.61,98,icmd,PCDD,equigranular/crowded mozodiorite?. Native copper 1% on fracture surfaces
D,MYDD408,117.61,122.81,98,icdp,PCDD,strongly fractured moderately porphritic diorite. Porphyry exhibites a number of 'M' veins and potassically altered veins propolitically altered host. 
D,MYDD408,122.81,135.01,98,icmd,PCDD,equigranular/crowded mozodiorite?. Moderately patchy potassic and propolitic alteration with selective phylicc alteration halo's on brecciated veins. 
D,MYDD409,0,113.55,98,spu,PCDD,transported cover. Consisting of clays
D,MYDD409,113.55,115.22,98,ifan,PCDD,amygdioidal andasite with a conformable lower contact with the underlying aphanitic andasite.
D,MYDD409,115.22,116.05,98,ifan,PCDD,aphanitic green grey andasite.
D,MYDD409,116.05,127.71,98,ifan,PCDD,apannitic and weakly porphritic in places brecciated andasite. Commonly intruded by brecciated dioritic veins with angular clasts. Epidote alteration common within brecciated veins and in the matrix of the dioritivc veins.
D,MYDD409,127.71,128.68,98,icd,PCDD,Porphritic dioritic dyke intruding into brecciated andasite. 10-15% Py selectively formed in the Fe rich chloritic blebs.
D,MYDD409,128.68,129.65,98,ifan,PCDD,
D,MYDD410,0,116.2,98,spu,PCDD,transported cover. Consisting of clays
D,MYDD410,116.2,122.3,98,bcpi,PCDD,Polymict breccia. Clasts are up to 30cm
D,MYDD410,122.3,132.69,98,bcpi,PCDD,Polymict breccia. Clasts are up to 30cm
D,MYDD411,0,131.5,98,spu,PCDD,transported cover. Consisting of clays
D,MYDD411,131.5,134.39,98,ifan,PCDD,moderately porphritic mg andasite.  Strong blebby epidote alteration with 0.5% Py and upto 2% diseminated and fracture controled spharerite.
D,MYDD411,134.39,156.7,98,icd,PCDD,Brx. Porphritic diorite intruding into andasitic-weakly prorphritc andasite. 
