H0001,Exploration_licence_data_header_file,,,,,,
H0002,Version,3,,,,,
H0003,Date_generated,,,,,,
H0004,Reporting_period_end_date,,,,,,
H0005,State,,,,,,
H0100,Tenement_no,,,,,,
H0101,Tenement_holder,,,,,,
H0102,Project_name,,,,,,
H0106,Tenement_Operator,,,,,,
H0200,Start_date_of_data_acquisition,18/10/2007,,,,,
H0201,End_date_of_data_acquisition,18/10/2017,,,,,
H0202,Template_format,DL1,,,,,
H0203,Number_of_data_records,22,,,,,
H0300,Related_data_filenames,,,,,,
H0300,Related_data_filenames,,,,,,
H0301,Location_data_file,,,,,,
H0303,Downhole_geochem_data_file,,,,,,
H0304,Downhole_survey_data_file,Log,,,,,
H0400,Drill_code,ACORE,PCDD,,,,
H0401,Contractor,Drillit Consulting Pty Ltd,,,,,
H0402,Description,ACORE,HQ Diamond drilling,,,,
H1000,Hole_ID,From,To,Recovery,Lithology,Drill_code,Comments
H1001,Units,Metres,metres,%,,,
H1004,Accuracy,,,0.01,,,
D,DH392A,0,3,98,rca,ACORE,
D,DH392A,3,12,98,rca,ACORE,
D,DH392A,12,14,98,rca,ACORE,
D,DH392A,14,15,98,rca,ACORE,
D,DH392A,15,21,98,rca,ACORE,
D,DH392A,21,24,98,rca,ACORE,
D,DH392A,24,31,98,rca,ACORE,
D,DH392A,31,35,98,rca,ACORE,
D,DH392A,35,42,98,rca,ACORE,
D,DH392B,0,10,98,rca,ACORE,minor lithic clasts (<1mm polymict) throughout.
D,DH392B,10,13,98,rca,ACORE,minor lithic clasts (<1mmpolymict) throughout. Minor gravely layer 12-13m
D,DH392B,13,28,98,rca,ACORE,Minor lithic clasts (<1mm polymict) throughout. Gravels
D,DH392B,28,43,98,rca,ACORE,clay prferentiall balls up from 28-35m
D,DH392B,43,46,98,rca,ACORE,
D,DH392B,46,61,98,rca,ACORE,
D,DH392B,61,66,98,rca,ACORE,
D,DH392B,66,68,98,rca,ACORE,
D,DH392B,68,89,98,sscl,ACORE,upper sap
D,DH392B,89,96,98,sscl,ACORE,lower sap
D,DH392B,96,104,98,vanv,ACORE,andesitic volcanic with weakly seriticised feldspar (1-4mm) pheno's 0.5%. Fine grained andasitic matrix with diseminated secondary magnetite
D,DH392B,104,106,98,vanv,ACORE,andesitic volcanic with weakly seriticised feldspar (1-4mm) pheno's 0.5%. Fine grained andasitic matrix with diseminated secondary magnetite
D,DH393,0,14,98,rca,ACORE,
D,DH393,14,21,98,rca,ACORE,
D,DH393,21,27,98,rca,ACORE,
D,DH393,27,36,98,rca,ACORE,
D,DH393,36,41,98,rca,ACORE,
D,DH393,41,48,98,rca,ACORE,
D,DH393,48,60,98,rca,ACORE,
D,DH393,60,95,98,sscl,ACORE,small section of degraded sap rock from 81-84m
D,DH393,95,102,98,vanv,ACORE,
D,DH393,102,104,98,vanv,ACORE,
D,DH393,104,106,98,vanv,ACORE,diseminated very fg py In andasitic volcanic with porphyritic texteure. Weakly seiticised feldspars .5-3mm.
D,DH394,0,1,98,rcs,ACORE,
D,DH394,1,9,98,sscl,ACORE,
D,DH394,9,21,98,sscl,ACORE,
D,DH394,21,30,98,sscl,ACORE,
D,DH394,30,45,98,sscl,ACORE,
D,DH394,45,47,98,sscl,ACORE,
D,DH394,47,50,98,sscl,ACORE,
D,DH394,50,52,98,sssa,ACORE,
D,DH394,52,58,98,ssgr,ACORE,
D,DH394,58,70,98,rssu,ACORE,small <0.5mm manganese nodules 61-62m
D,DH394,70,75,98,rssu,ACORE,
D,DH394,75,76,98,rssu,ACORE,
D,DH394,76,88,98,rssl,ACORE,minor small <0.5mm manganese nodules throughout.
D,DH394,88,93,98,rssr,ACORE,
D,DH394,93,101,98,rssr,ACORE,Flow banded alteration overprinting crowded equigranular fine-medium grained monzonite? Minor epidote throughout and abundant diseminated manganese and on fracture surfaces. 
D,DH394,101,102,98,icmo,ACORE,Flow banded alteration overprinting crowded equigranular fine-medium grained olive green monzonite? Moderate epidote predominately on alteration bands. Abundant diseminated blebby magnatite. Unidentified Iron carbonate infilling micro fractures. 
D,DH395,0,1,98,rcs,ACORE,
D,DH395,1,37,98,sscl,ACORE,Transported clays with minor colour variation from light orange brown to creamy brown. Minor small <0.5mm rounded lithic clasts throughout.
D,DH395,37,38,98,ssgr,ACORE,Tansported subrounded quartz gravel 0.5mm-5mm.
D,DH395,38,50,98,sscl,ACORE,Transported clays with minor colour variation from light orange brown to creamy brown. Minor small <0.5mm rounded lithic clasts throughout.
D,DH395,50,57,98,ssgr,ACORE,Tansported subrounded quartz gravel 0.5mm-5mm. Coarser gravels towards the bottom of interval.
D,DH395,57,72,98,rssu,ACORE,Upper sap defined by high clay content. 
D,DH395,72,88,98,rssl,ACORE,Lowwer sap defined by reduction in clay content and propensity for clays to form small balls.
D,DH395,88,96,98,rssr,ACORE,weakly porphritic brownish marroon monzonite with weakly seriticised felpspar pheno's <0.5mm. Abundant manganese nodules and trace epidote altered chips.
D,DH396,0,1,98,rcs,ACORE,
D,DH396,1,8,98,sscl,ACORE,
D,DH396,8,51,98,sscl,ACORE,Transported clays ranging from light orange brown to medium orange brown. Minor lithic fragments throughout.
D,DH396,51,57,98,ssgr,ACORE,Tansported subrounded quartz gravel 0.5mm-5mm.
D,DH396,57,79,98,rssu,ACORE,Upper sap defined by high clay content. 
D,DH396,79,82,98,rssr,ACORE,a few mtrs of sap rock inbetween upper and lower sap.
D,DH396,82,93,98,rssl,ACORE,Lowwer sap defined by reduction in clay content and propensity for clays to form small balls.
D,DH396,93,108,98,rssr,ACORE,
D,DH396,108,109,98,icmo,ACORE,Pervasively epidote altered monzonite? With trace py
D,DH397,0,15,98,sscl,ACORE,
D,DH397,15,16,98,ssgr,ACORE,
D,DH397,16,50,98,sscl,ACORE,
D,DH397,50,56,98,ssgr,ACORE,
D,DH397,56,85,98,rssu,ACORE,
D,DH397,85,93,98,rssl,ACORE,
D,DH397,93,97,98,rssr,ACORE,
D,DH397,97,101,98,rssr,ACORE,
D,DH397,101,103,98,icmo,ACORE,Aphanitic pale olive green Monzonite? Vfg diseminated Py.
D,DH398,0,1,98,rcs,ACORE,
D,DH398,1,13,98,sscl,ACORE,
D,DH398,13,17,98,ssgr,ACORE,
D,DH398,17,49,98,sscl,ACORE,
D,DH398,49,54,98,ssgr,ACORE,
D,DH398,54,63,98,rssu,ACORE,
D,DH398,63,67,98,rssr,ACORE,
D,DH398,67,79,98,rssu,ACORE,
D,DH398,79,83,98,rssl,ACORE,
D,DH398,83,90,98,rssr,ACORE,
D,DH398,90,95,98,rssr,ACORE,
D,DH398,95,100,98,icmo,ACORE,
D,DH399,0,2,98,rcs,ACORE,
D,DH399,2,6,98,sscl,ACORE,
D,DH399,6,8,98,sscl,ACORE,
D,DH399,8,12,98,sscl,ACORE,
D,DH399,12,17,98,ssgr,ACORE,
D,DH399,17,48,98,sscl,ACORE,
D,DH399,48,51,98,ssgr,ACORE,
D,DH399,51,55,98,sssa,ACORE,
D,DH399,55,56,98,ssgr,ACORE,
D,DH399,56,76,98,rssu,ACORE,
D,DH399,76,81,98,rssl,ACORE,
D,DH399,81,91,98,rssr,ACORE,
D,DH399,91,98,98,rssr,ACORE,
D,DH399,98,101,98,vanv,ACORE,Weakly porphyritic Andasite. Pheno's are weaklyseriticised and exhibit weak flow alignment. Epidote common
D,DH400,0,1,98,rcs,ACORE,
D,DH400,1,29,98,sscl,ACORE,
D,DH400,29,48,98,sscl,ACORE,
D,DH400,48,50,98,ssgr,ACORE,
D,DH400,50,54,98,sscl,ACORE,
D,DH400,54,56,98,rssr,ACORE,
D,DH400,56,78,98,rssu,ACORE,
