SECTION,TYPE,CATEGORY,ELEMENT,VALUE,UNIT
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,11843,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,4550,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,20942,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,4550,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,3900,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Curb,43544,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,94733,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,5774,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,194676,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,7910,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,1386,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Unit Pavers,239696,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,9303,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Subslab,152625,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Unit Pavers,52072,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,1347,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Subslab,33157,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Wall or Panels,9693,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Tree Grates,22645,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Playground Athletic,EPDM Safety Surface,20617,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Playground Athletic,Synthetic Turf,12232,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Site Elements,Stone Boulders,23854,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Amended Planting Soil,119343,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Organic Mulch,27684,kgCO₂e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Gravel Mulch,5472,kgCO₂e
