RGIId,lon,lat,do_we_have_an_observation_in_middle_fifth,Frontal_ablation_2000_to_2010_gt_per_yr_mean,Frontal_ablation_2000_to_2010_gt_per_yr_mean_err,Frontal_ablation_2010_to_2020_gt_per_yr_mean,Frontal_ablation_2010_to_2020_gt_per_yr_mean_err,Terminus_volume_change_2000_to_2010_gt_per_yr,Terminus_volume_change_2010_to_2020_gt_per_yr,Number_of_children
RGI60-01.03377,-132.7907031,57.50362021,0,0.074604601,0.011427248,0.075272014,0.010179407,0.00032003,-0.002061394,0
RGI60-01.03622,-132.3543946,56.83647523,0,0.00555763,0.004374558,0.001508115,0.002333237,0.000350734,4.25E-05,0
RGI60-01.03890,-133.1650937,57.93108275,0,0.001071626,0.003651147,0.001997978,0.001977283,-0.000597739,-0.000155155,2
RGI60-01.04375,-133.0667104,57.83221447,0,0.122785194,0.01395461,0.152421074,0.011127122,0.001627245,-0.001859768,0
RGI60-01.09426,-148.715066,60.65459546,0,0.00016904,0.0019716,0.001095085,0.002158496,-1.52E-05,-0.000135959,0
RGI60-01.09519,-148.6876627,60.64436078,0,4.69E-05,0.000558689,0.000496256,0.00057043,0.000174398,-0.000155779,0
RGI60-01.09639,-148.4203895,60.27482589,0,0.239795477,0.013560605,0.205525996,0.006249821,-0.002224346,-0.001903229,0
RGI60-01.09757,-148.459265,60.17876837,0,0.011519323,0.008183774,0.005195892,0.004537492,-0.00016008,-6.59E-05,0
RGI60-01.09783,-148.4513523,60.9713796,0,0.008222974,0.011290335,0.001474032,0.008779763,0.000261908,-0.000135554,0
RGI60-01.09798,-148.4002522,60.11537258,0,0.00479151,0.004382282,0.008684835,0.004680068,-0.001674136,-0.004213391,0
RGI60-01.09810,-148.4432556,61.054887,0,0.007843411,0.020358961,0.023132956,0.006986168,-1.99E-06,-0.003076862,0
RGI60-01.10188,-148.1768944,61.12122391,0,0.001364908,0.001112336,0.000436198,0.000636773,-0.000442099,-0.00020238,0
RGI60-01.10299,-148.1213569,61.12229795,0,0.000965866,0.000846122,0.000245512,0.000333718,-0.000203716,-2.01E-05,0
RGI60-01.10325,-148.1259748,61.15105708,0,0.077257152,0.01515798,0.083421873,0.007517299,-0.003607075,-0.00436931,0
RGI60-01.10355,-147.8720572,61.18858959,0,0.000542656,0.000663122,0.000520047,0.000514106,6.97E-05,-9.01E-05,0
RGI60-01.10402,-147.8117048,61.23271257,0,6.49E-05,0.001035331,0.000579187,0.001049945,0.00066482,0.000240859,0
RGI60-01.10431,-147.7765871,61.2530425,0,0.000114518,0.000574396,0.002115554,0.001883791,6.99E-05,-0.001935556,0
RGI60-01.10575,-147.6963016,61.28405419,1,0.561173853,0.014078378,0.51123299,0.012258477,0.006871969,0.005208441,0
RGI60-01.10607,-147.5099178,61.15144538,0,0.089743937,0.009420145,0.062212872,0.003491873,-1.39E-05,0.000571592,0
RGI60-01.10612,-147.6011344,61.23731813,1,0.171454952,0.00672266,0.158822449,0.003967371,-0.000162003,-0.00061797,0
RGI60-01.10689,-147.1073859,61.16032919,1,3.541475777,0.139787706,3.102141476,0.1195276,-0.175077272,-0.855888626,2
RGI60-01.10836,-146.6611201,61.16746518,0,0.003188936,0.00338854,0.002956173,0.002743944,0.000187177,-0.000237834,0
RGI60-01.13638,-141.1640195,60.17803684,0,0.002402985,0.002696981,0.000480019,0.004196065,0.000197226,0.000119999,0
RGI60-01.14391,-139.6130252,60.02410257,0,0.023329205,0.023792177,0.011586556,0.011487133,-0.000350808,-0.001780717,0
RGI60-01.14443,-139.4705652,60.025163,1,4.056418975,0.061927611,3.500594298,0.055970195,0.072366534,-0.018336577,2
RGI60-01.14683,-141.3705055,60.16133453,1,1.341654725,0.012702836,1.750781763,0.012030589,0.012132871,0.014934631,0
RGI60-01.14876,-141.5087831,60.06574504,0,0.001890072,0.002037438,0.001751352,0.001700613,5.43E-05,0.000268008,0
RGI60-01.14878,-141.6004716,60.17324157,0,0.534326238,0.016864554,0.370613687,0.007155537,-0.004920325,-0.000986668,0
RGI60-01.17807,-149.7579498,59.95506147,0,0.20129263,0.011438759,0.177382361,0.004932744,3.70E-05,-0.000603181,0
RGI60-01.17840,-149.8808252,59.85591787,0,0.023401596,0.007304734,0.024654316,0.002904576,0.000154569,0.000882086,0
RGI60-01.17876,-150.2191396,59.7554022,0,0.021610164,0.014557738,0.012102796,0.004799643,-0.002619526,-0.001483415,0
RGI60-01.20470,-136.9296837,58.88750983,0,0.001025477,0.000889081,0.001665951,0.001211133,0.000206675,-0.000364206,0
RGI60-01.20734,-137.1262432,58.83330219,0,0.174057652,0.009707761,0.140483084,0.005720293,0.000358622,0.000443398,0
