,success_rate,mean_error,mean_time
DFA,1.0,0.19795874326051724,0.16141905784606933
R/S,1.0,0.22692616361528672,0.08197228643629285
Higuchi,1.0,0.47524097935409493,0.00983877182006836
DMA,1.0,0.10468203052007274,0.10211125479804145
Periodogram,1.0,0.3509731598973826,0.0027823978000217015
Whittle,1.0,0.2401771088496258,0.014153544108072917
GPH,1.0,0.3965743966853574,0.0024207592010498046
Wavelet Log Variance,1.0,0.24514041600936087,0.0023045857747395833
Wavelet Variance,1.0,0.361799238533466,0.002299075656467014
Wavelet Whittle,1.0,0.114486965826083,0.026548841264512804
CWT,1.0,0.2856495288639336,0.009291866090562609
MFDFA,1.0,0.4181242605751652,0.8916666666666667
