estimator,category,overall_success_rate,clean_success_rate,noise_success_rate,outliers_success_rate,trends_success_rate,avg_error,avg_time,robustness_score
CWT,wavelet,100.0,100.0,100.0,100.0,100.0,0.1478551670478026,0.006563514709472656,102.60724164760987
R/S,temporal,100.0,100.0,100.0,100.0,100.0,0.1559392759158968,0.05936854553222656,102.20303620420516
Wavelet Log Variance,wavelet,100.0,100.0,100.0,100.0,100.0,0.29332158754386894,0.001599480946858724,95.33392062280654
DFA,temporal,88.0,100.0,100.0,100.0,100.0,0.11932451663421334,0.11712990240617231,92.03377416828933
DMA,temporal,88.0,100.0,100.0,100.0,100.0,0.1273062538742505,0.07572380412708629,91.63468730628747
Wavelet Whittle,wavelet,88.0,100.0,100.0,100.0,100.0,0.14184269232466476,0.018346828402894914,90.90786538376676
MFDFA,multifractal,100.0,100.0,100.0,100.0,100.0,0.3863652609586866,0.6289170385996501,90.68173695206568
Periodogram,spectral,88.0,100.0,100.0,100.0,100.0,0.16519195092112696,0.0018940427086570047,89.74040245394366
Wavelet Variance,wavelet,100.0,100.0,100.0,100.0,100.0,0.43436458948058093,0.0015851834615071615,88.28177052597096
GPH,spectral,88.0,100.0,100.0,100.0,100.0,0.2528606881476324,0.0017568320939035126,85.35696559261838
Whittle,spectral,88.0,100.0,100.0,100.0,100.0,0.350872550887776,0.008042477838920824,80.4563724556112
Higuchi,temporal,88.0,100.0,100.0,100.0,100.0,0.45923230485809774,0.007342360958908544,75.03838475709512
