,success_rate,mean_error,mean_time
DFA,1.0,0.03989165633854683,0.17762175136142308
R/S,1.0,0.11406576437805103,0.07846112251281738
Higuchi,1.0,0.49750559136912825,0.010300731658935547
DMA,1.0,0.053165759434164774,0.09864144855075413
Periodogram,1.0,0.07185393421368796,0.002752918667263455
Whittle,1.0,0.3958671278426456,0.012220499250623915
GPH,1.0,0.1767961307979716,0.0026528093549940323
Wavelet Log Variance,1.0,0.1848504328730572,0.002559550603230794
Wavelet Variance,1.0,0.28814334791859436,0.0025302728017171225
Wavelet Whittle,1.0,0.11802580230318402,0.02821041742960612
CWT,1.0,0.05821625968591903,0.009890646404690213
MFDFA,1.0,0.42704206142893136,0.9141678015391032
