gauge_id,gauge_name,gauge_code
03J/02H,ABELHEIRA CANAL (R.E.),1627743350
15G/02H,AGROAL,1627743380
11H/02H,AGUIEIRA (R.E.),1627743382
26J/01H,ALBERNOA,1627743392
11H/01H,ALMAÇA,1627743408
17G/02H,ALMOUROL,1627743414
15K/01H,ALMOURÃO,1627743412
31E/01HA,ALMÁDENA,10703807198
03J/01H,ALTO CÁVADO DERIVAÇÃO (R.E.),1627743424
03J/06H,ALTO CÁVADO TOTAL (R.E.),1627743420
31K/01HA,AMARO GONÇALVES,10703807202
02I/01H,AMEIJOEIRA,1627743448
24L/01H,AMIEIRA,1627743450
25M/01H,ARDILA (FOZ),1627743462
30G/01HA,ARROCHELA,10703807210
03D/01H,ASPRA,1627743470
30L/04H,ATALISCA,1627743474
05Q/01H,AZIBO (R.E.),1627743480
05E/02A,AÇUDE DE TOUGUES,1627743376
15E/05A,AÇUDE DO ARRABALDE,1627743360
06G/01H,BALSA,1627743490
04F/02H,BARCELOS,1627743502
02H/02H,BARRAGEM DO LINDOSO,1627743524
31E/02HA,BARÃO DE SÃO JOÃO,10703807506
30L/01H,BELICHE (POVOAÇÃO),1627743542
31E/01H,BENSAFRIM,1627743552
31K/03H,BODEGA,1627743556
03L/01H,BOTICAS (R.E.),1627743558
30E/02H,BRAVURA,1627743566
17F/01H,C.N.F.T - TORRES NOVAS,1627743576
20I/03H,CABEÇÃO,1627743580
04J/02H,CABREIRA DERIVAÇÃO (R.E.),1627743582
04J/07H,CABREIRA TOTAL (R.E.),1627743584
09I/05H,CABRIA (R.E.),1695334936
07I/04H,CABRIZ (R.E.),1627743590
07I/01H,CABRUM (R.E.),1627743616
10J/01H,CALDAS DE SÃO GEMIL,1627743658
10M/06H,CALDEIRÃO (R.E.),1627743660
19F/01H,CALHA DO GROU,1627743664
30G/07H,CASA QUEIMADA,1627743698
06M/05H,CASTANHEIRO,1627743784
06M/01H,CASTANHEIRO (R.E.),1627743730
10P/01H,CASTELO BOM (R.E.),1627743970
08J/01H,CASTRO DAIRE (R.E.),1627744152
09M/01H,CELORICO DA BEIRA,1627744494
30E/01H,CERCA DOS POMARES,1627744712
08O/02H,CIDADELHE (R.E.),1627745200
31J/01H,COIRO DA BURRA,1627751868
21A/05H,COLARES,1627751870
31H/01H,COTOVIO,1627751884
18L/01H,COUTO DE ANDREIROS,1627751886
03H/04H,COVAS (R.E.),1627751894
04J/04H,CUNHAS (R.E.),1627751922
03L/02H,CURALHA (R.E.),1627751948
30L/02H,CURRAL DE BOIEIROS,1627751978
27I/01H,ENTRADAS,1627752142
06K/01H,ERMIDA CORGO (R.E.),1627752254
08P/03H,ESCALHÃO,1627752390
08P/01H,ESCALHÃO (R.E.),1627752346
08Q/01H,ESCARIGO TOURÕES (R.E.),1627752468
31K/02HA,ESPARTOSA,10703807560
21B/02H,ESTAÇÃO AGRONÓMICA NACIONAL,1627753084
11I/01H,FERREIRÓS (R.E.),1627758610
16D/01H,FERVENÇA,1627758614
06G/04H,FERVENÇA (LEÇA),1627758612
19K/01H,FIGUEIRA E BARROS,1627758616
23I/01H,FLOR DA ROSA,1627758620
04E/06H,FORJÃES,1627758626
03F/01H,FORNO DA CAL,1627758628
15K/02H,FOZ DO COBRÃO (R.E.),1695334942
01G/03H,FOZ DO MOURO,1627758640
01G/02H,FOZ DO MOURO (R.E.),1627758638
30H/02H,FOZ DO RIBEIRO,1627758642
07F/03H,FOZ DO SOUSA,1627758648
08H/04H,FRAGAS DA TORRE,1627758656
