,success_rate,mean_error,mean_time
DFA,1.0,0.41192761795431454,0.1675216621822781
R/S,1.0,0.3211603133190618,0.082292816374037
Higuchi,1.0,0.23741245923525112,0.010123825073242188
DMA,1.0,0.5399340054647519,0.10111296971638997
Periodogram,1.0,0.2829864615647228,0.002720567915174696
Whittle,1.0,0.3449939699081655,0.012443749109903972
GPH,1.0,0.32143255545713956,0.0028146849738226996
Wavelet Log Variance,1.0,0.8206460706298019,0.002617783016628689
Wavelet Variance,1.0,1.1903494352016655,0.0025505701700846354
Wavelet Whittle,1.0,0.2923239443057438,0.029636393653021918
CWT,1.0,0.4670845099728238,0.008653185102674696
MFDFA,1.0,0.1486420702067042,0.9009646468692356
